playerid,schoolid,yearmin,yearmax
calerki01,stthomasfl,1995,1996
brandma01,txtech,1991,1992
gallabo01,stanford,1967,1968
kolstha01,sanjosest,1956,1957
snarery01,unc,1998,2000
rowelba01,lsu,1935,1937
congedi01,ucla,1939,1939
giambja01,longbeach,1990,1992
willbo01,nwestern,1951,1951
milleto02,richmond,1915,1918
pryorgr01,flsouthern,1968,1971
vaughde01,oklahoma,1978,1981
fulghjo01,miamifl,1975,1975
gilesma01,grossmont,0,0
weissga01,houston,1977,1978
michaja01,miamifl,1997,1998
brodema01,villanova,1897,1902
splitpa01,mrningside,1966,1968
newsodi01,wake,1930,1930
mastewa01,upenn,1929,1931
blairwi01,morehead,1983,1986
beimejo01,duquesne,1998,1998
ewingsa01,tennessee,1968,1970
magnuji01,wioshkosh,1965,1966
sullima02,florida,1977,1979
dagenjo01,ohiost,1936,1938
monahri01,niagara,1947,1953
kauffdi01,susquehnna,1908,1909
nevinph01,calstfull,1990,1992
marshdo02,olemiss,1924,1929
sincobe01,michigan,1906,1908
hammaat01,etennst,1977,1979
lennoed02,niagara,1916,1920
daniebe01,bucknell,1910,1910
kingcu01,philly,1993,1993
hutsohe01,georgiasou,1968,1970
wagneha01,duke,1936,1937
schulda01,newhaven,1972,1975
wrighcl01,carsnewm,1963,1965
tobikda01,ohio,1972,1974
stablge01,csdomhills,1976,1978
howarch01,oklahoma,1986,1987
hoffmtr01,arizona,1987,1989
lockdo01,wichitast,1956,1957
napleal01,georgetown,1946,1949
cummijo01,usc,1989,1990
noonape01,holycross,1900,1904
waltobr01,hawaii,1982,1985
staplda01,salabama,1974,1975
pattima01,eillinois,1962,1965
dunnsc01,texas,1997,1999
boydoi01,jacksonst,1977,1980
tennaji01,georgewash,1926,1929
ryanji01,bostoncoll,1881,1885
adairje01,okstate,1957,1958
andreer01,indiana,1937,1939
kubskgi01,calstnorth,1973,1974
myricbo01,missst,1971,1974
shannre01,setonhall,1914,1915
wagnele01,tuskegee,1953,1953
kempst01,usc,1973,1975
sheltsk01,wvirginia,1907,1909
moskapa01,arizonast,1973,1973
grubbto01,kentucky,1919,1920
campaal01,newyorku,1938,1940
meadolo01,ncstate,1980,1982
alliega01,wake,1951,1951
huntzst01,villanova,1963,1963
evansba01,wgeorgia,1974,1977
bartlir01,michiganst,1934,1936
bockura01,kentst,1979,1982
mullesc01,dallasbapt,1996,1996
mortobu01,howard,1954,1954
hankija01,missouri,1954,1957
bridgto01,tennessee,1927,1929
mcallbi01,tennessee,1909,1910
armstja01,oklahoma,1987,1987
lintodo01,ucirvine,1984,1986
iorgda01,byu,1969,1971
guettle01,liberty,1978,1981
reedje01,wcarolina,1974,1977
meyerbo01,toledo,1958,1959
hassero01,arizona,1974,1976
broweji01,minnesota,1992,1994
seabosc01,wvirginia,1996,1996
zahnge01,michigan,1966,1967
tayloha05,texas,1956,1957
sheanda01,fordham,1902,1906
dunlagr01,pacific,1947,1947
hallied01,stmarysca,1904,1907
pondra01,maine,1909,1910
berkmla01,rice,1995,1997
redfepe01,usc,1973,1975
gorsijo01,wvirginia,1936,1937
frencwa01,rutgers,1920,1920
leshndo01,youngst,1966,1968
mathehe01,bucknell,1905,1906
brookhu01,arizonast,1977,1978
stromfl01,nwestern,1936,1936
beschbo01,wittnbrgoh,1902,1905
kahnow01,willmary,1924,1929
raethha01,wisconsin,1952,1954
bathebi01,pepperdine,1981,1981
larmobo01,missouri,1915,1917
weikdi01,illinois,1946,1946
hengeda01,california,1981,1983
brantma01,sonomast,1974,1974
kesteri01,ucla,1966,1967
johnsto03,lemoynowen,1975,1977
whitest01,princeton,1909,1912
levsedu01,iowast,1917,1919
hanyzed01,notredame,1939,1941
granted01,harvard,1903,1905
davidan01,calstfull,1979,1980
sketcbu01,ucla,1938,1941
pasqumi01,villanova,1917,1919
cirilje01,usc,1988,1991
simondo01,pepperdine,1986,1988
kammebo01,stanford,1970,1972
leachte01,auburn,1973,1976
mcnaugo01,loyolachi,1929,1932
rueteki01,murrayst,1989,1991
sandede02,floridast,1987,1988
piercra01,kansas,1923,1923
whitedo01,georgetown,1898,1900
seleaa01,washst,1989,1991
johnsfr02,ncstate,1924,1924
paronch01,umass,1994,1996
younger01,rutgers,1987,1989
gumpeda01,aquinasmi,1977,1980
eschela01,stlawrence,1940,1942
hootobu01,texas,1969,1971
flannti01,chapmanca,1976,1978
benneer01,sacstate,1987,1989
sheetan01,tulane,1990,1990
hatchch01,iowa,1988,1990
gagusch01,stmarysca,1881,1884
nelsori01,arizonast,1979,1981
walkefl01,oberlinoh,1881,1881
chriscl01,kansas,1977,1979
tennefr02,brown,1890,1894
kinkami01,washst,1992,1995
crawfke01,pittsburgh,1913,1915
thornwa01,cornellia,1895,1895
salefr01,georgia,1922,1924
burchla01,okstate,1966,1967
schneda01,arizona,1962,1962
gibbojo01,olemiss,1955,1957
kennaed01,wvirginia,1901,1901
mcdonbe01,lsu,1987,1989
lundgca01,illinois,1899,1902
laudebi01,brown,1893,1898
konopbr01,usc,1940,1942
waltege01,ekentucky,1981,1982
lamabja01,vermont,1955,1956
campbvi01,vandy,1906,1908
mcelvpr01,carsnewm,1900,1903
lannito01,wake,1927,1930
bowerfr01,michigan,1892,1892
pettijo01,mercer,1974,1977
redmama01,oklahoma,1994,1995
wilsoji03,oregonst,1980,1982
krencwa01,miamifl,1973,1975
stonege02,latech,1965,1966
nashke01,brown,1907,1912
bokeldi01,nwestern,1945,1947
cushmha01,maine,1897,1897
shirlbo01,oklahoma,1973,1975
dayetbr01,stleo,1975,1978
landrjo01,clemson,1946,1947
bumbral01,virginiast,1968,1969
cooksbr01,longbeach,1990,1991
correro01,umassdartm,1986,1988
yarnaed01,lsu,1994,1996
bruneju01,sandiegost,1994,1997
robinje01,calstfull,1980,1983
westomi01,emichigan,1980,1982
keeneje01,kentucky,1980,1981
leonade01,iona,1970,1972
wunscke01,texasam,1991,1993
howest01,michigan,1977,1979
weafeke01,duke,1934,1935
godbyda01,bowlgreen,1965,1968
skidmro01,millikin,1965,1966
hillefr01,lafayette,1939,1942
mmahake01,tulane,1984,1987
phillja04,sandiegost,1995,1997
brownra02,floridast,1964,1966
greenne01,lehigh,1919,1923
carpecr01,georgia,1985,1987
sorrevi01,wake,1923,1925
hendrja01,butler,1894,1902
clenddo01,morehouse,1953,1956
funkto01,nwmost,1981,1983
merlolo01,providence,1990,1993
pavlada01,rice,1982,1984
kingje01,arkansas,1984,1986
stemlst01,wkentucky,1996,1998
ripplch01,wake,1942,1942
smithna01,tennst,1954,1959
schulbu01,miamioh,1970,1972
guisele01,florida,1930,1930
hattesc01,washst,1990,1991
howarma01,pepperdine,1986,1989
burtoji01,michigan,1969,1971
grangje01,texasam,1991,1993
calhobi01,gatech,1910,1911
heepda01,stmarytx,1976,1978
eilanda01,sflorida,1986,1987
sittoca01,clemson,1901,1903
clemewa01,tuftsma,1902,1905
martial02,calstla,1977,1977
lagrole01,arizonast,1968,1969
ahearpa01,pepperdine,1991,1992
murphro01,florida,1979,1980
jonesda01,nillinois,1900,1901
webble01,ohwesleyan,1904,1908
reuscpa01,willinois,1967,1968
nielsje01,floridast,1987,1988
kostefr01,louisville,1926,1928
walshjo02,notredame,1901,1901
einerda01,iawesleyan,1995,1995
thomple01,occidental,1921,1921
youngcu01,cmichigan,1980,1981
worreti01,biolaca,1986,1989
mcmahdo01,holycross,1906,1908
walkecu01,swesterntx,1915,1919
rineeje01,frankmarsh,1974,1975
benjami01,arizonast,1986,1987
philled01,bostoncoll,1920,1923
groombu01,maryhrdbay,1986,1987
comerst01,minnesota,1973,1976
caseyjo01,bostoncoll,1906,1909
carteho01,fordham,1923,1925
passecl01,millsapsms,1929,1932
serraji01,nmexico,1998,1998
lyonru01,gatech,1933,1933
crawfja01,missouri,1947,1951
roberbr01,unc,1997,1998
brenndo01,georgetown,1923,1926
lyleji01,missst,1919,1925
pottsjo01,ohwesleyan,1906,1909
jacksbo01,auburn,1983,1986
greenkh01,clemson,1999,2002
ardoida01,mcneese,1995,1995
ostrojo02,scranton,1938,1941
bransje01,walabama,1986,1988
butlebr01,seoklahoma,1977,1979
stupejo01,ptparkpa,1978,1978
drabedo01,houston,1981,1983
jonesma02,longbeach,1994,1997
jacksco01,california,2001,2003
lillide01,georgia,1985,1987
hagemca01,genevapa,1906,1911
speaktr01,txwesleyan,1905,1905
kraveke01,ashland,1970,1973
brownbo03,stanford,1943,1943
leshebr01,delaware,1990,1992
dempsco01,sanfran,1942,1944
wrighdi01,lafayette,1909,1915
jacksjo02,upenn,1932,1932
poolera01,catawba,1938,1941
giarrto01,tulane,2001,2003
pumpesp01,yale,1912,1917
careyan01,stmarysca,1949,1950
rutnemi01,stjohns,1939,1941
goodwto01,fresnost,1987,1989
morenle01,duquesne,1902,1903
schooje01,missouri,1953,1955
hustowa01,sprngfldma,1935,1937
slaglro01,kansas,1975,1976
hobbsjo01,lynchbrgva,1976,1978
kellybo01,casewestrn,1946,1947
carroja01,evansville,1994,1996
cahilto01,holycross,1885,1888
lowelmi01,flinternat,1993,1995
thompja01,calstnorth,1973,1975
agganha01,bostonuniv,1948,1952
krausha01,stmarysca,1905,1907
washebu01,wvirginia,1902,1902
hollmst01,texasam,1947,1948
wanerll01,ecentralok,1924,1925
mcanupa01,longbeach,2002,2002
alyeabr01,hofstra,1959,1961
hayesja02,alabama,1926,1927
suareke01,floridast,1963,1963
harkijo01,rutgers,1881,1882
benavfr01,txchrist,1985,1987
sivespe01,dickinson,1933,1936
husonje01,wyoming,1984,1985
nekolbo01,holycross,1929,1929
schoesc01,duke,1993,1996
richano01,georgia,1924,1926
davisdo01,ncstate,1982,1984
klausbo01,illinois,1957,1959
crimch01,hawaii,1980,1982
fuentmi02,floridast,1978,1981
gregole01,fresnost,1959,1959
millebr01,indiana,1968,1970
blatest01,denver,1964,1965
roberji01,missst,1912,1920
cunnimi01,scarolina,1901,1906
rigneto01,texasam,1915,1918
pelloki01,arkansas,1995,1996
silbeed01,temple,1933,1937
gulleto01,mscollege,1921,1922
smithji01,duquesne,1914,1914
seaveto01,usc,1965,1965
heintch01,sflorida,1993,1996
jonesja02,yale,1882,1883
kosmami01,indiana,1939,1941
marshcu01,wwashngton,1943,1944
cutshge01,notredame,1908,1908
terrewa01,morehead,1977,1980
barryja01,holycross,1906,1907
powelda01,calstfull,1992,1994
gonzaor01,miamifl,1973,1974
tobinjo02,stmarysca,1940,1944
murrada02,sandiegost,1995,1995
mcguiry01,ucla,1991,1993
kolbga01,illinois,1960,1960
roserst01,clarksonny,1937,1940
waitked01,bostoncoll,1938,1938
brewebi01,dallasbapt,1987,1990
bradybr01,nytech,1981,1984
smallro02,usc,1972,1973
merribi01,holycross,1889,1891
smithmi03,tennessee,1975,1976
gryboke01,wilkespa,1992,1995
trempov01,upenn,1925,1927
dunnji01,alabama,1947,1947
merulma01,unc,1984,1986
treadre01,bartonnc,1941,1942
mahonch01,manhattan,1904,1906
daniebe01,villanova,1907,1907
brownji03,ncstate,1932,1932
creedpa01,bostoncoll,1925,1930
vanceco01,gatech,1998,2000
mcgrabo01,colorado,1914,1916
walkefl01,michigan,1882,1882
davenlu01,arizona,1919,1920
dellaja01,sflorida,1996,1997
veilbu01,bucknell,1900,1902
datzje01,rowannj,1979,1982
vaughgl01,houston,1962,1963
brinkch01,ohiost,1964,1966
morsebu01,california,1923,1926
duffpa01,manhattan,1901,1904
jamerle01,arkansas,1919,1921
burnsed01,stmarysca,1903,1912
howelja01,colorado,1974,1976
penaca01,wrightst,1996,1996
heltoto01,tennessee,1993,1995
gerutjo01,stanford,1997,1998
berojo01,wmichigan,1942,1944
ryanro01,holycross,1917,1919
carrodo01,tuftsma,1915,1916
hoseyst01,fresnost,1987,1989
durhado01,wkentucky,1968,1970
everead01,ncstate,1996,1996
fischha01,setonhall,1958,1959
teutna01,iowast,1995,1997
grangwa01,sprngfldma,1964,1964
drisktr01,txtech,1991,1992
figuebi01,floridast,1985,1986
mccamra01,grcanyon,1984,1985
brummgr01,wichitast,1986,1989
littljo01,arizonast,1974,1974
desauge01,holycross,1928,1930
robinda01,sandiegost,1966,1968
daubda01,denisonoh,1891,1891
zabelzi01,bakerks,1911,1912
devordo01,indiana,1997,1999
doolami01,bucknell,1899,1904
sandesc01,vandy,1976,1977
niemabo01,kentst,1947,1947
macksh01,ucla,1982,1984
malleje01,baylor,1955,1957
hilchwh01,alabama,1929,1930
mashoda01,arizona,1988,1991
barnoed01,syracuse,1963,1963
alvarju01,stthomasfl,1992,1995
busheja01,cincy,1904,1909
wileyma01,calpolypom,1968,1970
mahleri01,trinitytx,1972,1974
goeckbi01,canisius,1891,1892
groskho01,amherstma,1929,1930
riesgni01,sandiegost,1986,1988
derosma01,upenn,1994,1996
robinea01,california,1956,1957
kellnwa01,arizona,1949,1949
beanbi01,loyolamary,1983,1986
peekst01,stlawrence,1934,1939
judsoho01,illinois,1944,1945
bengobe01,niagara,1915,1917
mallobo01,pittsburgh,1937,1942
lawrese01,stfrncisil,1992,1992
vanbejo01,kentst,1999,2001
doyleja01,fordham,1888,1889
streuwa01,rhodestn,1954,1954
womacsi01,missst,1919,1919
niemabu01,kansasst,1938,1939
abbotji01,michigan,1986,1988
marrobu01,davidson,1928,1929
mandeha01,iowa,1937,1937
adamsgl01,sprngfldma,1967,1967
wolveha01,kenyonoh,1893,1895
kellge01,arkansasst,1940,1940
barracu01,sacstate,1953,1953
hutchbi01,yale,1878,1881
brancno01,texas,1934,1936
scarrru01,florida,1922,1928
denneky01,oklahoma,1998,1999
heitmhe01,california,1902,1908
mohlemi01,nicholls,1987,1989
klingsc01,ohiost,1990,1992
gramaal01,indianast,1997,1999
whiteed01,alabama,1948,1950
knudsma01,coloradost,1979,1982
graydi01,waynesburg,1949,1950
smykafr01,illinois,1908,1914
dipinfr01,stleo,1975,1977
hintori01,arizona,1967,1969
fogarji01,stmarysca,1883,1883
sprowbo01,alabama,1975,1977
brusswa01,fresnost,1972,1973
vanatru01,pennst,1927,1928
clemedo01,syracuse,1959,1960
clarkma01,macmurryil,1987,1987
halsebr01,texas,2002,2002
housepa01,wyoming,1961,1962
loyndmi01,floridast,1984,1986
powerle01,santaclara,1928,1933
vargaja01,longbeach,2004,2004
storkal01,amherstma,1903,1906
zelleba01,arizona,1960,1963
sislege01,michigan,1913,1915
lowrydw01,unc,1977,1980
schrobo01,loyolano,1963,1964
tewksbo01,stleo,1980,1981
leahyto01,holycross,1891,1893
musseje01,harvard,1982,1985
kriegku01,wshngtonmo,1946,1946
ortizlu01,uniontn,1989,1991
brittja01,illinois,1943,1943
seibeph01,texas,1998,2000
hochha01,kutztown,1904,1907
robinja02,ucla,1940,1940
wrighri01,texas,1976,1979
harvebr01,charlotte,1982,1984
woodabr01,unc,1988,1991
hollabi02,ecarolina,1936,1939
treacpe01,fordham,1871,1876
bookegr01,elon,1979,1981
masonde01,rollins,1902,1903
roberda07,ucla,1991,1994
beebefr01,illinois,1902,1903
hajekda01,calpolypom,1987,1989
fenwibo01,minnesota,1966,1967
krawcra01,oralrob,1981,1981
grosswa01,calpolypom,1971,1973
